Order_ID,Agent_Age,Agent_Rating,Order_Date,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Distance_km,Order_Hour,Pickup_Hour,Order_DayOfWeek
ialx566343618,37,4.9,2022-03-19,Sunny,High ,motorcycle ,Urban ,120,Clothing,3.0207366434610647,11,11,5
akqg208421122,34,4.5,2022-03-25,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics,20.143736910348597,19,19,4
njpu434582536,23,4.4,2022-03-19,Sandstorms,Low ,motorcycle ,Urban ,130,Sports,1.549692932239404,8,8,5
rjto796129700,38,4.7,2022-04-05,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics,7.774496620087613,18,18,1
zguw716275638,32,4.6,2022-03-26,Cloudy,High ,scooter ,Metropolitian ,150,Toys,6.197897916874956,13,13,5
fxuu788413734,22,4.8,2022-03-11,Cloudy,Jam ,motorcycle ,Urban ,130,Toys,4.602205335871525,21,21,4
njmo150975311,33,4.7,2022-03-04,Fog,Jam ,scooter ,Metropolitian ,200,Toys,16.576886807242534,19,19,4
jvjc772545076,35,4.6,2022-03-14,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks,20.164987511903337,17,17,0
uaeb808891380,22,4.8,2022-03-20,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics,19.94021940160752,20,21,6
bgvc052754213,36,4.2,2022-02-12,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys,10.27146402322994,21,22,5
vmau710398846,21,4.7,2022-02-13,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics,6.229376076976667,14,15,6
lcwn330553507,23,4.7,2022-03-04,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes,13.764305929575334,17,17,4
wcjs752046999,34,4.3,2022-02-13,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel,2.9277947281095997,9,9,6
blhl288691670,24,4.7,2022-02-14,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry,19.37348408863585,19,20,0
zyvo118176215,29,4.5,2022-04-02,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors,13.740932234405253,20,20,5
uhfs888375680,35,4.0,2022-03-01,Windy,High ,scooter ,Metropolitian ,33,Grocery,6.205589948340002,14,15,1
vmfv999642595,33,4.2,2022-03-16,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,Cosmetics,16.821191645783845,20,20,2
qfgc848777135,34,4.9,2022-03-20,Cloudy,Jam ,motorcycle ,Metropolitian ,205,Snacks,10.738078032534037,20,20,6
vwmc439983136,21,4.7,2022-02-15,Windy,Jam ,motorcycle ,Urban ,75,Jewelry,4.533895591762387,21,21,1
ntzy027061451,25,4.1,2022-03-16,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Toys,12.23513612361146,20,20,2
pbjm971961647,31,4.7,2022-03-10,Sandstorms,Low ,van,Metropolitian ,130,Books,19.590994221235338,22,22,3
kjic578711491,37,5.0,2022-03-11,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Clothing,1.554950180979803,8,8,4
rkzt648036688,33,4.3,2022-03-27,Windy,Jam ,scooter ,Metropolitian ,195,Snacks,20.140905255245308,19,19,6
